month,level_1,level_2,value
1961-01,Number Of Air Passenger Arrivals,South East Asia,na
1961-01,Number Of Air Passenger Arrivals,North East Asia,na
1961-01,Number Of Air Passenger Arrivals,South Asia,na
1961-01,Number Of Air Passenger Arrivals,Middle East,na
1961-01,Number Of Air Passenger Arrivals,Oceania,na
1961-01,Number Of Air Passenger Arrivals,Europe,na
1961-01,Number Of Air Passenger Arrivals,North America,na
1961-01,Number Of Air Passenger Arrivals,Other Regions,na
1961-02,Number Of Air Passenger Arrivals,South East Asia,na
1961-02,Number Of Air Passenger Arrivals,North East Asia,na
1961-02,Number Of Air Passenger Arrivals,South Asia,na
1961-02,Number Of Air Passenger Arrivals,Middle East,na
1961-02,Number Of Air Passenger Arrivals,Oceania,na
1961-02,Number Of Air Passenger Arrivals,Europe,na
1961-02,Number Of Air Passenger Arrivals,North America,na
1961-02,Number Of Air Passenger Arrivals,Other Regions,na
1961-03,Number Of Air Passenger Arrivals,South East Asia,na
1961-03,Number Of Air Passenger Arrivals,North East Asia,na
1961-03,Number Of Air Passenger Arrivals,South Asia,na
1961-03,Number Of Air Passenger Arrivals,Middle East,na
1961-03,Number Of Air Passenger Arrivals,Oceania,na
1961-03,Number Of Air Passenger Arrivals,Europe,na
1961-03,Number Of Air Passenger Arrivals,North America,na
1961-03,Number Of Air Passenger Arrivals,Other Regions,na
1961-04,Number Of Air Passenger Arrivals,South East Asia,na
1961-04,Number Of Air Passenger Arrivals,North East Asia,na
1961-04,Number Of Air Passenger Arrivals,South Asia,na
1961-04,Number Of Air Passenger Arrivals,Middle East,na
1961-04,Number Of Air Passenger Arrivals,Oceania,na
1961-04,Number Of Air Passenger Arrivals,Europe,na
1961-04,Number Of Air Passenger Arrivals,North America,na
1961-04,Number Of Air Passenger Arrivals,Other Regions,na
1961-05,Number Of Air Passenger Arrivals,South East Asia,na
1961-05,Number Of Air Passenger Arrivals,North East Asia,na
1961-05,Number Of Air Passenger Arrivals,South Asia,na
1961-05,Number Of Air Passenger Arrivals,Middle East,na
1961-05,Number Of Air Passenger Arrivals,Oceania,na
1961-05,Number Of Air Passenger Arrivals,Europe,na
1961-05,Number Of Air Passenger Arrivals,North America,na
1961-05,Number Of Air Passenger Arrivals,Other Regions,na
1961-06,Number Of Air Passenger Arrivals,South East Asia,na
1961-06,Number Of Air Passenger Arrivals,North East Asia,na
1961-06,Number Of Air Passenger Arrivals,South Asia,na
1961-06,Number Of Air Passenger Arrivals,Middle East,na
1961-06,Number Of Air Passenger Arrivals,Oceania,na
1961-06,Number Of Air Passenger Arrivals,Europe,na
1961-06,Number Of Air Passenger Arrivals,North America,na
1961-06,Number Of Air Passenger Arrivals,Other Regions,na
1961-07,Number Of Air Passenger Arrivals,South East Asia,na
1961-07,Number Of Air Passenger Arrivals,North East Asia,na
1961-07,Number Of Air Passenger Arrivals,South Asia,na
1961-07,Number Of Air Passenger Arrivals,Middle East,na
1961-07,Number Of Air Passenger Arrivals,Oceania,na
1961-07,Number Of Air Passenger Arrivals,Europe,na
1961-07,Number Of Air Passenger Arrivals,North America,na
1961-07,Number Of Air Passenger Arrivals,Other Regions,na
1961-08,Number Of Air Passenger Arrivals,South East Asia,na
1961-08,Number Of Air Passenger Arrivals,North East Asia,na
1961-08,Number Of Air Passenger Arrivals,South Asia,na
1961-08,Number Of Air Passenger Arrivals,Middle East,na
1961-08,Number Of Air Passenger Arrivals,Oceania,na
1961-08,Number Of Air Passenger Arrivals,Europe,na
1961-08,Number Of Air Passenger Arrivals,North America,na
1961-08,Number Of Air Passenger Arrivals,Other Regions,na
1961-09,Number Of Air Passenger Arrivals,South East Asia,na
1961-09,Number Of Air Passenger Arrivals,North East Asia,na
1961-09,Number Of Air Passenger Arrivals,South Asia,na
1961-09,Number Of Air Passenger Arrivals,Middle East,na
1961-09,Number Of Air Passenger Arrivals,Oceania,na
1961-09,Number Of Air Passenger Arrivals,Europe,na
1961-09,Number Of Air Passenger Arrivals,North America,na
1961-09,Number Of Air Passenger Arrivals,Other Regions,na
1961-10,Number Of Air Passenger Arrivals,South East Asia,na
1961-10,Number Of Air Passenger Arrivals,North East Asia,na
1961-10,Number Of Air Passenger Arrivals,South Asia,na
1961-10,Number Of Air Passenger Arrivals,Middle East,na
1961-10,Number Of Air Passenger Arrivals,Oceania,na
1961-10,Number Of Air Passenger Arrivals,Europe,na
1961-10,Number Of Air Passenger Arrivals,North America,na
1961-10,Number Of Air Passenger Arrivals,Other Regions,na
1961-11,Number Of Air Passenger Arrivals,South East Asia,na
1961-11,Number Of Air Passenger Arrivals,North East Asia,na
1961-11,Number Of Air Passenger Arrivals,South Asia,na
1961-11,Number Of Air Passenger Arrivals,Middle East,na
1961-11,Number Of Air Passenger Arrivals,Oceania,na
1961-11,Number Of Air Passenger Arrivals,Europe,na
