month,level_1,level_2,value
1961-01,Number Of Air Passenger Departures,South East Asia,na
1961-01,Number Of Air Passenger Departures,North East Asia,na
1961-01,Number Of Air Passenger Departures,South Asia,na
1961-01,Number Of Air Passenger Departures,Middle East,na
1961-01,Number Of Air Passenger Departures,Oceania,na
1961-01,Number Of Air Passenger Departures,Europe,na
1961-01,Number Of Air Passenger Departures,North America,na
1961-01,Number Of Air Passenger Departures,Other Regions,na
1961-02,Number Of Air Passenger Departures,South East Asia,na
1961-02,Number Of Air Passenger Departures,North East Asia,na
1961-02,Number Of Air Passenger Departures,South Asia,na
1961-02,Number Of Air Passenger Departures,Middle East,na
1961-02,Number Of Air Passenger Departures,Oceania,na
1961-02,Number Of Air Passenger Departures,Europe,na
1961-02,Number Of Air Passenger Departures,North America,na
1961-02,Number Of Air Passenger Departures,Other Regions,na
1961-03,Number Of Air Passenger Departures,South East Asia,na
1961-03,Number Of Air Passenger Departures,North East Asia,na
1961-03,Number Of Air Passenger Departures,South Asia,na
1961-03,Number Of Air Passenger Departures,Middle East,na
1961-03,Number Of Air Passenger Departures,Oceania,na
1961-03,Number Of Air Passenger Departures,Europe,na
1961-03,Number Of Air Passenger Departures,North America,na
1961-03,Number Of Air Passenger Departures,Other Regions,na
1961-04,Number Of Air Passenger Departures,South East Asia,na
1961-04,Number Of Air Passenger Departures,North East Asia,na
1961-04,Number Of Air Passenger Departures,South Asia,na
1961-04,Number Of Air Passenger Departures,Middle East,na
1961-04,Number Of Air Passenger Departures,Oceania,na
1961-04,Number Of Air Passenger Departures,Europe,na
1961-04,Number Of Air Passenger Departures,North America,na
1961-04,Number Of Air Passenger Departures,Other Regions,na
1961-05,Number Of Air Passenger Departures,South East Asia,na
1961-05,Number Of Air Passenger Departures,North East Asia,na
1961-05,Number Of Air Passenger Departures,South Asia,na
1961-05,Number Of Air Passenger Departures,Middle East,na
1961-05,Number Of Air Passenger Departures,Oceania,na
1961-05,Number Of Air Passenger Departures,Europe,na
1961-05,Number Of Air Passenger Departures,North America,na
1961-05,Number Of Air Passenger Departures,Other Regions,na
1961-06,Number Of Air Passenger Departures,South East Asia,na
1961-06,Number Of Air Passenger Departures,North East Asia,na
1961-06,Number Of Air Passenger Departures,South Asia,na
1961-06,Number Of Air Passenger Departures,Middle East,na
1961-06,Number Of Air Passenger Departures,Oceania,na
1961-06,Number Of Air Passenger Departures,Europe,na
1961-06,Number Of Air Passenger Departures,North America,na
1961-06,Number Of Air Passenger Departures,Other Regions,na
1961-07,Number Of Air Passenger Departures,South East Asia,na
1961-07,Number Of Air Passenger Departures,North East Asia,na
1961-07,Number Of Air Passenger Departures,South Asia,na
1961-07,Number Of Air Passenger Departures,Middle East,na
1961-07,Number Of Air Passenger Departures,Oceania,na
1961-07,Number Of Air Passenger Departures,Europe,na
1961-07,Number Of Air Passenger Departures,North America,na
1961-07,Number Of Air Passenger Departures,Other Regions,na
1961-08,Number Of Air Passenger Departures,South East Asia,na
1961-08,Number Of Air Passenger Departures,North East Asia,na
1961-08,Number Of Air Passenger Departures,South Asia,na
1961-08,Number Of Air Passenger Departures,Middle East,na
1961-08,Number Of Air Passenger Departures,Oceania,na
1961-08,Number Of Air Passenger Departures,Europe,na
1961-08,Number Of Air Passenger Departures,North America,na
1961-08,Number Of Air Passenger Departures,Other Regions,na
