month,level_1,value
1961-01,Number Of Air Passenger Departures,11355
1961-02,Number Of Air Passenger Departures,11060
1961-03,Number Of Air Passenger Departures,12884
1961-04,Number Of Air Passenger Departures,13162
1961-05,Number Of Air Passenger Departures,11895
1961-06,Number Of Air Passenger Departures,10897
1961-07,Number Of Air Passenger Departures,12350
1961-08,Number Of Air Passenger Departures,12959
1961-09,Number Of Air Passenger Departures,13202
1961-10,Number Of Air Passenger Departures,13218
1961-11,Number Of Air Passenger Departures,13314
1961-12,Number Of Air Passenger Departures,13463
1962-01,Number Of Air Passenger Departures,12949
1962-02,Number Of Air Passenger Departures,12432
1962-03,Number Of Air Passenger Departures,14028
1962-04,Number Of Air Passenger Departures,14933
1962-05,Number Of Air Passenger Departures,13975
1962-06,Number Of Air Passenger Departures,12547
1962-07,Number Of Air Passenger Departures,13904
1962-08,Number Of Air Passenger Departures,14877
1962-09,Number Of Air Passenger Departures,15255
1962-10,Number Of Air Passenger Departures,14717
1962-11,Number Of Air Passenger Departures,15993
1962-12,Number Of Air Passenger Departures,15528
1963-01,Number Of Air Passenger Departures,14363
1963-02,Number Of Air Passenger Departures,13699
1963-03,Number Of Air Passenger Departures,15784
1963-04,Number Of Air Passenger Departures,17060
1963-05,Number Of Air Passenger Departures,15784
1963-06,Number Of Air Passenger Departures,13725
1963-07,Number Of Air Passenger Departures,16687
1963-08,Number Of Air Passenger Departures,17600
1963-09,Number Of Air Passenger Departures,16687
1963-10,Number Of Air Passenger Departures,15086
1963-11,Number Of Air Passenger Departures,16353
1963-12,Number Of Air Passenger Departures,15122
1964-01,Number Of Air Passenger Departures,14346
1964-02,Number Of Air Passenger Departures,17312
1964-03,Number Of Air Passenger Departures,17275
1964-04,Number Of Air Passenger Departures,17125
1964-05,Number Of Air Passenger Departures,16546
1964-06,Number Of Air Passenger Departures,14148
1964-07,Number Of Air Passenger Departures,15594
1964-08,Number Of Air Passenger Departures,16818
1964-09,Number Of Air Passenger Departures,15232
1964-10,Number Of Air Passenger Departures,16309
1964-11,Number Of Air Passenger Departures,18335
1964-12,Number Of Air Passenger Departures,19589
1965-01,Number Of Air Passenger Departures,17955
1965-02,Number Of Air Passenger Departures,17528
1965-03,Number Of Air Passenger Departures,19093
1965-04,Number Of Air Passenger Departures,20331
1965-05,Number Of Air Passenger Departures,19870
1965-06,Number Of Air Passenger Departures,16298
1965-07,Number Of Air Passenger Departures,19684
1965-08,Number Of Air Passenger Departures,21016
1965-09,Number Of Air Passenger Departures,20302
1965-10,Number Of Air Passenger Departures,19955
1965-11,Number Of Air Passenger Departures,20426
1965-12,Number Of Air Passenger Departures,21269
1966-01,Number Of Air Passenger Departures,20684
1966-02,Number Of Air Passenger Departures,19138
1966-03,Number Of Air Passenger Departures,19557
1966-04,Number Of Air Passenger Departures,22675
1966-05,Number Of Air Passenger Departures,21228
1966-06,Number Of Air Passenger Departures,19913
1966-07,Number Of Air Passenger Departures,23038
1966-08,Number Of Air Passenger Departures,24675
1966-09,Number Of Air Passenger Departures,23185
1966-10,Number Of Air Passenger Departures,24043
1966-11,Number Of Air Passenger Departures,25736
1966-12,Number Of Air Passenger Departures,28318
1967-01,Number Of Air Passenger Departures,25437
1967-02,Number Of Air Passenger Departures,24733
1967-03,Number Of Air Passenger Departures,26682
1967-04,Number Of Air Passenger Departures,30273
1967-05,Number Of Air Passenger Departures,28255
1967-06,Number Of Air Passenger Departures,25942
1967-07,Number Of Air Passenger Departures,31328
1967-08,Number Of Air Passenger Departures,33880
1967-09,Number Of Air Passenger Departures,30271
1967-10,Number Of Air Passenger Departures,30784
1967-11,Number Of Air Passenger Departures,32377
1967-12,Number Of Air Passenger Departures,33996
1968-01,Number Of Air Passenger Departures,31725
1968-02,Number Of Air Passenger Departures,31165
1968-03,Number Of Air Passenger Departures,32437
1968-04,Number Of Air Passenger Departures,35624
1968-05,Number Of Air Passenger Departures,34107
1968-06,Number Of Air Passenger Departures,31511
1968-07,Number Of Air Passenger Departures,35185
1968-08,Number Of Air Passenger Departures,38765
1968-09,Number Of Air Passenger Departures,33844
1968-10,Number Of Air Passenger Departures,36538
1968-11,Number Of Air Passenger Departures,36944
1968-12,Number Of Air Passenger Departures,39011
1969-01,Number Of Air Passenger Departures,38662
1969-02,Number Of Air Passenger Departures,35532
1969-03,Number Of Air Passenger Departures,40554
1969-04,Number Of Air Passenger Departures,45544
1969-05,Number Of Air Passenger Departures,40752
1969-06,Number Of Air Passenger Departures,39376
1969-07,Number Of Air Passenger Departures,45626
1969-08,Number Of Air Passenger Departures,48201
1969-09,Number Of Air Passenger Departures,46206
1969-10,Number Of Air Passenger Departures,48264
1969-11,Number Of Air Passenger Departures,51158
1969-12,Number Of Air Passenger Departures,55030
1970-01,Number Of Air Passenger Departures,49616
1970-02,Number Of Air Passenger Departures,45303
1970-03,Number Of Air Passenger Departures,52506
1970-04,Number Of Air Passenger Departures,57612
1970-05,Number Of Air Passenger Departures,57174
1970-06,Number Of Air Passenger Departures,53564
1970-07,Number Of Air Passenger Departures,63288
1970-08,Number Of Air Passenger Departures,67359
1970-09,Number Of Air Passenger Departures,61152
1970-10,Number Of Air Passenger Departures,56265
1970-11,Number Of Air Passenger Departures,58300
1970-12,Number Of Air Passenger Departures,66491
1971-01,Number Of Air Passenger Departures,63362
1971-02,Number Of Air Passenger Departures,57256
1971-03,Number Of Air Passenger Departures,61145
1971-04,Number Of Air Passenger Departures,66839
1971-05,Number Of Air Passenger Departures,67752
1971-06,Number Of Air Passenger Departures,62478
1971-07,Number Of Air Passenger Departures,67672
1971-08,Number Of Air Passenger Departures,78000
1971-09,Number Of Air Passenger Departures,71202
1971-10,Number Of Air Passenger Departures,75469
1971-11,Number Of Air Passenger Departures,78591
1971-12,Number Of Air Passenger Departures,86030
1972-01,Number Of Air Passenger Departures,77313
1972-02,Number Of Air Passenger Departures,76263
1972-03,Number Of Air Passenger Departures,81697
1972-04,Number Of Air Passenger Departures,82510
1972-05,Number Of Air Passenger Departures,81976
1972-06,Number Of Air Passenger Departures,79998
1972-07,Number Of Air Passenger Departures,82762
1972-08,Number Of Air Passenger Departures,94615
1972-09,Number Of Air Passenger Departures,85910
1972-10,Number Of Air Passenger Departures,91748
1972-11,Number Of Air Passenger Departures,97175
1972-12,Number Of Air Passenger Departures,107285
1973-01,Number Of Air Passenger Departures,104633
1973-02,Number Of Air Passenger Departures,98860
1973-03,Number Of Air Passenger Departures,100881
1973-04,Number Of Air Passenger Departures,110629
1973-05,Number Of Air Passenger Departures,112819
1973-06,Number Of Air Passenger Departures,102209
1973-07,Number Of Air Passenger Departures,113549
1973-08,Number Of Air Passenger Departures,124116
1973-09,Number Of Air Passenger Departures,118453
1973-10,Number Of Air Passenger Departures,121606
1973-11,Number Of Air Passenger Departures,130741
1973-12,Number Of Air Passenger Departures,135437
1974-01,Number Of Air Passenger Departures,129063
1974-02,Number Of Air Passenger Departures,114197
1974-03,Number Of Air Passenger Departures,120810
1974-04,Number Of Air Passenger Departures,120418
1974-05,Number Of Air Passenger Departures,120428
1974-06,Number Of Air Passenger Departures,121255
1974-07,Number Of Air Passenger Departures,122402
1974-08,Number Of Air Passenger Departures,141052
1974-09,Number Of Air Passenger Departures,122212
1974-10,Number Of Air Passenger Departures,125746
1974-11,Number Of Air Passenger Departures,131768
1974-12,Number Of Air Passenger Departures,144381
1975-01,Number Of Air Passenger Departures,134492
1975-02,Number Of Air Passenger Departures,123169
1975-03,Number Of Air Passenger Departures,135029
1975-04,Number Of Air Passenger Departures,131783
1975-05,Number Of Air Passenger Departures,134397
1975-06,Number Of Air Passenger Departures,129721
1975-07,Number Of Air Passenger Departures,134239
1975-08,Number Of Air Passenger Departures,160626
1975-09,Number Of Air Passenger Departures,142268
1975-10,Number Of Air Passenger Departures,142090
1975-11,Number Of Air Passenger Departures,151272
1975-12,Number Of Air Passenger Departures,157877
1976-01,Number Of Air Passenger Departures,156949
1976-02,Number Of Air Passenger Departures,138719
1976-03,Number Of Air Passenger Departures,147434
1976-04,Number Of Air Passenger Departures,147280
1976-05,Number Of Air Passenger Departures,154962
1976-06,Number Of Air Passenger Departures,144929
1976-07,Number Of Air Passenger Departures,154309
1976-08,Number Of Air Passenger Departures,176872
1976-09,Number Of Air Passenger Departures,158732
1976-10,Number Of Air Passenger Departures,157211
1976-11,Number Of Air Passenger Departures,165310
1976-12,Number Of Air Passenger Departures,178181
1977-01,Number Of Air Passenger Departures,173567
1977-02,Number Of Air Passenger Departures,152595
1977-03,Number Of Air Passenger Departures,169530
1977-04,Number Of Air Passenger Departures,167823
1977-05,Number Of Air Passenger Departures,170822
1977-06,Number Of Air Passenger Departures,165728
1977-07,Number Of Air Passenger Departures,180801
1977-08,Number Of Air Passenger Departures,201734
1977-09,Number Of Air Passenger Departures,176875
1977-10,Number Of Air Passenger Departures,174115
1977-11,Number Of Air Passenger Departures,188334
1977-12,Number Of Air Passenger Departures,196185
1978-01,Number Of Air Passenger Departures,190941
1978-02,Number Of Air Passenger Departures,171115
1978-03,Number Of Air Passenger Departures,185946
1978-04,Number Of Air Passenger Departures,187843
1978-05,Number Of Air Passenger Departures,200037
1978-06,Number Of Air Passenger Departures,185781
1978-07,Number Of Air Passenger Departures,202644
1978-08,Number Of Air Passenger Departures,227451
1978-09,Number Of Air Passenger Departures,208930
1978-10,Number Of Air Passenger Departures,205506
1978-11,Number Of Air Passenger Departures,219369
1978-12,Number Of Air Passenger Departures,218565
1979-01,Number Of Air Passenger Departures,213232
1979-02,Number Of Air Passenger Departures,188148
1979-03,Number Of Air Passenger Departures,208566
1979-04,Number Of Air Passenger Departures,212036
1979-05,Number Of Air Passenger Departures,218180
1979-06,Number Of Air Passenger Departures,218916
1979-07,Number Of Air Passenger Departures,235195
1979-08,Number Of Air Passenger Departures,251071
1979-09,Number Of Air Passenger Departures,228072
1979-10,Number Of Air Passenger Departures,236702
1979-11,Number Of Air Passenger Departures,250583
1979-12,Number Of Air Passenger Departures,249366
1980-01,Number Of Air Passenger Departures,244681
1980-02,Number Of Air Passenger Departures,234846
1980-03,Number Of Air Passenger Departures,254054
1980-04,Number Of Air Passenger Departures,246241
1980-05,Number Of Air Passenger Departures,257562
1980-06,Number Of Air Passenger Departures,253752
1980-07,Number Of Air Passenger Departures,267734
1980-08,Number Of Air Passenger Departures,301484
1980-09,Number Of Air Passenger Departures,252745
1980-10,Number Of Air Passenger Departures,265013
1980-11,Number Of Air Passenger Departures,281055
1980-12,Number Of Air Passenger Departures,291865
1981-01,Number Of Air Passenger Departures,279156
1981-02,Number Of Air Passenger Departures,268209
1981-03,Number Of Air Passenger Departures,275807
1981-04,Number Of Air Passenger Departures,278169
1981-05,Number Of Air Passenger Departures,282975
1981-06,Number Of Air Passenger Departures,294470
1981-07,Number Of Air Passenger Departures,308379
1981-08,Number Of Air Passenger Departures,345296
1981-09,Number Of Air Passenger Departures,293905
1981-10,Number Of Air Passenger Departures,300799
1981-11,Number Of Air Passenger Departures,318522
1981-12,Number Of Air Passenger Departures,332421
1982-01,Number Of Air Passenger Departures,321696
1982-02,Number Of Air Passenger Departures,277439
1982-03,Number Of Air Passenger Departures,303970
1982-04,Number Of Air Passenger Departures,293002
1982-05,Number Of Air Passenger Departures,303051
1982-06,Number Of Air Passenger Departures,316120
1982-07,Number Of Air Passenger Departures,332958
1982-08,Number Of Air Passenger Departures,352457
1982-09,Number Of Air Passenger Departures,302663
1982-10,Number Of Air Passenger Departures,313689
