month,level_1,level_2,level_3,value
1961-01,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1961-01,Number Of Air Passenger Departures,South East Asia,Indonesia,1878
1961-01,Number Of Air Passenger Departures,South East Asia,Thailand,919
1961-01,Number Of Air Passenger Departures,South East Asia,Philippines,122
1961-01,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1961-01,Number Of Air Passenger Departures,North East Asia,China,na
1961-01,Number Of Air Passenger Departures,North East Asia,Hong Kong,881
1961-01,Number Of Air Passenger Departures,North East Asia,Japan,71
1961-01,Number Of Air Passenger Departures,Europe,United Kingdom,455
1961-01,Number Of Air Passenger Departures,Europe,France,na
1961-01,Number Of Air Passenger Departures,Europe,Germany,na
1961-02,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1961-02,Number Of Air Passenger Departures,South East Asia,Indonesia,1458
1961-02,Number Of Air Passenger Departures,South East Asia,Thailand,1083
1961-02,Number Of Air Passenger Departures,South East Asia,Philippines,141
1961-02,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1961-02,Number Of Air Passenger Departures,North East Asia,China,na
1961-02,Number Of Air Passenger Departures,North East Asia,Hong Kong,1008
1961-02,Number Of Air Passenger Departures,North East Asia,Japan,121
1961-02,Number Of Air Passenger Departures,Europe,United Kingdom,367
1961-02,Number Of Air Passenger Departures,Europe,France,na
1961-02,Number Of Air Passenger Departures,Europe,Germany,na
1961-03,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1961-03,Number Of Air Passenger Departures,South East Asia,Indonesia,1671
1961-03,Number Of Air Passenger Departures,South East Asia,Thailand,1850
1961-03,Number Of Air Passenger Departures,South East Asia,Philippines,195
1961-03,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1961-03,Number Of Air Passenger Departures,North East Asia,China,na
1961-03,Number Of Air Passenger Departures,North East Asia,Hong Kong,1459
1961-03,Number Of Air Passenger Departures,North East Asia,Japan,88
1961-03,Number Of Air Passenger Departures,Europe,United Kingdom,441
1961-03,Number Of Air Passenger Departures,Europe,France,na
1961-03,Number Of Air Passenger Departures,Europe,Germany,na
1961-04,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1961-04,Number Of Air Passenger Departures,South East Asia,Indonesia,1841
1961-04,Number Of Air Passenger Departures,South East Asia,Thailand,1836
1961-04,Number Of Air Passenger Departures,South East Asia,Philippines,233
1961-04,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1961-04,Number Of Air Passenger Departures,North East Asia,China,na
1961-04,Number Of Air Passenger Departures,North East Asia,Hong Kong,1489
1961-04,Number Of Air Passenger Departures,North East Asia,Japan,284
1961-04,Number Of Air Passenger Departures,Europe,United Kingdom,621
1961-04,Number Of Air Passenger Departures,Europe,France,na
1961-04,Number Of Air Passenger Departures,Europe,Germany,na
1961-05,Number Of Air Passenger Departures,South East Asia,Malaysia,na
